,Product Position,Promotion,Sales Volume,Name,Price,Terms,Section,Season,Material,Origin,revenue
0,Aisle,True,1243,BASIC PUFFER JACKET,1243.0,jackets,MAN,Winter,Polyester,Brazil,1545049.0
1,Aisle,True,1429,TUXEDO JACKET,1429.0,jackets,MAN,Autumn,Cotton,Turkey,2042041.0
2,End-cap,True,1168,SLIM FIT SUIT JACKET,1168.0,jackets,WOMAN,Autumn,Polyester,Morocco,1364224.0
3,Aisle,True,1348,STRETCH SUIT JACKET,1348.0,jackets,MAN,Spring,Polyester,China,1817104.0
4,End-cap,True,1602,DOUBLE FACED JACKET,1602.0,jackets,WOMAN,Winter,Wool Blend,China,2566404.0
5,End-cap,True,1282,CONTRASTING COLLAR JACKET,1282.0,jackets,WOMAN,Autumn,Cotton,Turkey,1643524.0
6,Front of Store,True,688,FAUX LEATHER PUFFER JACKET,688.0,jackets,MAN,Winter,Acrylic,China,473344.0
7,Aisle,True,1711,SUIT JACKET IN 100% LINEN,1711.0,jackets,WOMAN,Summer,Cotton,Portugal,2927521.0
8,Aisle,True,857,100% WOOL SUIT JACKET,857.0,jackets,WOMAN,Winter,Wool,India,734449.0
9,Aisle,True,769,100% FEATHER FILL PUFFER JACKET,769.0,jackets,MAN,Autumn,Wool Blend,China,591361.0
10,Aisle,True,1696,HERRINGBONE TEXTURED JACKET,1696.0,jackets,WOMAN,Winter,Wool,China,2876416.0
11,Aisle,True,1538,OVERSIZED CROPPED JACKET LIMITED EDITION,1538.0,jackets,WOMAN,Autumn,Polyester,Portugal,2365444.0
12,Aisle,True,822,LEATHER BIKER JACKET,822.0,jackets,MAN,Autumn,Cotton,Portugal,675684.0
13,Front of Store,True,840,CROPPED LEATHER JACKET,840.0,jackets,WOMAN,Autumn,Viscose,Bangladesh,705600.0
14,Aisle,True,1569,FAUX LEATHER BOXY FIT JACKET,1569.0,jackets,WOMAN,Spring,Polyester,China,2461761.0
15,End-cap,True,952,FAUX LEATHER JACKET,952.0,jackets,WOMAN,Spring,Wool Blend,India,906304.0
16,Aisle,True,915,FAUX SUEDE BOMBER JACKET,915.0,jackets,WOMAN,Autumn,Cotton,Portugal,837225.0
17,Front of Store,True,1522,DENIM BOMBER JACKET,1522.0,jackets,WOMAN,Autumn,Cotton,India,2316484.0
18,Aisle,True,1305,BOUCLÉ TEXTURED JACKET,1305.0,jackets,MAN,Winter,Polyester,Morocco,1703025.0
19,End-cap,True,840,SUIT JACKET IN 100% LINEN,840.0,jackets,WOMAN,Spring,Linen,Bangladesh,705600.0
20,End-cap,True,997,JACQUARD DENIM JACKET,997.0,jackets,WOMAN,Spring,Denim,China,994009.0
21,Front of Store,True,857,PADDED DENIM JACKET,857.0,jackets,WOMAN,Autumn,Denim,Bangladesh,734449.0
22,Aisle,True,982,LEATHER JACKET,982.0,jackets,WOMAN,Spring,Wool Blend,Vietnam,964324.0
23,End-cap,True,970,LIGHTWEIGHT BOMBER JACKET,970.0,jackets,MAN,Autumn,Wool Blend,Spain,940900.0
24,Front of Store,True,1453,SUIT JACKET,1453.0,jackets,WOMAN,Autumn,Polyester,Brazil,2111209.0
25,Front of Store,True,870,FAUX LEATHER BOMBER JACKET,870.0,jackets,MAN,Autumn,Polyester,India,756900.0
26,End-cap,True,1533,PATCH BOMBER JACKET,1533.0,jackets,WOMAN,Autumn,Cotton,Cambodia,2350089.0
27,Front of Store,True,807,STRETCH POCKET OVERSHIRT,807.0,jackets,WOMAN,Spring,Cotton,India,651249.0
28,Front of Store,True,1604,RIB COLLAR JACKET,1604.0,jackets,WOMAN,Autumn,Wool Blend,Bangladesh,2572816.0
29,Front of Store,True,1255,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,1255.0,jackets,MAN,Autumn,Viscose,China,1575025.0
30,Front of Store,True,1268,CONTRASTING PATCHES BOMBER JACKET,1268.0,jackets,MAN,Autumn,Cotton,China,1607824.0
31,Aisle,True,1047,PATCH BOMBER JACKET,1047.0,jackets,WOMAN,Winter,Viscose,Bangladesh,1096209.0
32,End-cap,True,744,CROPPED BOMBER JACKET LIMITED EDITION,744.0,jackets,MAN,Autumn,Polyester,Spain,553536.0
33,End-cap,True,1744,FAUX LEATHER PUFFER JACKET,1744.0,jackets,WOMAN,Winter,Wool,Turkey,3041536.0
34,Aisle,True,1447,FAUX LEATHER BOMBER JACKET,1447.0,jackets,WOMAN,Autumn,Viscose,India,2093809.0
35,End-cap,True,911,BOMBER JACKET,911.0,jackets,WOMAN,Spring,Polyester,Vietnam,829921.0
36,End-cap,True,1575,FAUX SUEDE JACKET,1575.0,jackets,WOMAN,Autumn,Viscose,Cambodia,2480625.0
37,Aisle,True,1440,FAUX SUEDE BOMBER JACKET,1440.0,jackets,WOMAN,Spring,Viscose,Spain,2073600.0
38,Aisle,True,942,SUEDE JACKET,942.0,jackets,WOMAN,Spring,Polyester,Vietnam,887364.0
39,End-cap,True,972,CONTRASTING COLLAR JACKET,972.0,jackets,WOMAN,Winter,Viscose,Bangladesh,944784.0
40,Front of Store,True,860,TEXTURED JACKET,860.0,jackets,WOMAN,Spring,Cotton,Bangladesh,739600.0
41,Aisle,True,709,CROPPED TEXTURED JACKET,709.0,jackets,MAN,Spring,Cotton,China,502681.0
42,Aisle,True,663,POCKET PUFFER JACKET,663.0,jackets,WOMAN,Autumn,Wool,Spain,439569.0
43,End-cap,True,876,TECHNICAL JACKET WITH POCKETS,876.0,jackets,MAN,Spring,Wool Blend,Argentina,767376.0
44,End-cap,True,1284,FAUX LEATHER JACKET,1284.0,jackets,WOMAN,Spring,Polyester,Turkey,1648656.0
45,Aisle,True,871,FAUX SUEDE JACKET,871.0,jackets,MAN,Autumn,Polyester,Argentina,758641.0
